,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1069356,121,CASH_OUT,936976.86,936976.86,0.0,0.0,936976.86,1,0
6008431,435,CASH_OUT,365332.78,365332.78,0.0,27185.14,392517.92,1,0
1030517,69,TRANSFER,5521483.54,5521483.54,0.0,0.0,0.0,1,0
2780720,214,CASH_OUT,2485467.28,2485467.28,0.0,0.0,2485467.28,1,0
3031113,233,CASH_OUT,592443.66,592443.66,0.0,69752.66,662196.32,1,0
347735,16,CASH_OUT,121626.82,121626.82,0.0,653744.34,775371.16,1,0
2588246,207,CASH_OUT,38427.47,38427.47,0.0,27167.41,65594.88,1,0
2381688,194,CASH_OUT,452294.74,452294.74,0.0,71502.94,523797.68,1,0
6187233,569,CASH_OUT,2561698.04,2561698.04,0.0,93471.68,2655169.72,1,0
6362338,720,TRANSFER,79039.81,79039.81,0.0,0.0,0.0,1,0
6272924,624,TRANSFER,2626957.79,2626957.79,0.0,0.0,0.0,1,0
2382165,199,CASH_OUT,80885.48,80885.48,0.0,756653.51,837538.99,1,0
5562383,385,CASH_OUT,617882.66,617882.66,0.0,171914.08,789796.74,1,0
6008706,438,TRANSFER,60274.87,60274.87,0.0,0.0,0.0,1,0
2121441,183,TRANSFER,2075328.73,2075328.73,0.0,0.0,0.0,1,0
5679339,397,TRANSFER,249984.75,249984.75,0.0,0.0,0.0,1,0
6362396,726,TRANSFER,54584.29,54584.29,0.0,0.0,0.0,1,0
1030350,58,CASH_OUT,7108914.22,7108914.22,0.0,0.0,7108914.22,1,0
6305734,684,CASH_OUT,459.38,459.38,0.0,277498.02,277957.4,1,0
1030375,60,TRANSFER,1026208.84,1026208.84,0.0,0.0,0.0,1,0
6362550,738,TRANSFER,108240.74,108240.74,0.0,0.0,0.0,1,0
1030318,56,CASH_OUT,136562.78,136562.78,0.0,21100.34,157663.12,1,0
6351066,697,CASH_OUT,1272493.9,1272493.9,0.0,2396715.75,3669209.65,1,0
1030389,61,TRANSFER,1735466.52,1735466.52,0.0,0.0,0.0,1,0
6117480,529,TRANSFER,1773151.32,1773151.32,0.0,0.0,0.0,1,0
5987940,412,TRANSFER,381977.83,381977.83,0.0,0.0,0.0,1,0
3196166,249,CASH_OUT,271229.8,271229.8,0.0,566471.82,837701.62,1,0
6202684,583,TRANSFER,459378.91,459378.91,0.0,0.0,0.0,1,0
5593779,394,TRANSFER,1303543.6,1303543.6,0.0,0.0,0.0,1,0
6006493,429,CASH_OUT,315712.36,315712.36,0.0,733325.51,1049037.87,1,0
6068887,514,TRANSFER,137605.04,137605.04,0.0,0.0,0.0,1,0
6118821,537,TRANSFER,34238.2,34238.2,0.0,0.0,0.0,1,0
6020853,466,TRANSFER,4364760.42,4364760.42,0.0,0.0,0.0,1,0
6362562,739,TRANSFER,7758036.72,7758036.72,0.0,0.0,0.0,1,0
1030594,75,CASH_OUT,810039.19,810039.19,0.0,409035.12,1219074.31,1,0
6360919,717,TRANSFER,751854.42,751854.42,0.0,0.0,0.0,1,0
3193185,243,TRANSFER,793886.87,793886.87,0.0,0.0,0.0,1,0
6259816,601,TRANSFER,98099.07,98099.07,0.0,0.0,0.0,1,0
5994338,421,TRANSFER,10000000.0,15455965.86,5455965.86,0.0,0.0,1,0
576360,31,TRANSFER,587031.2,587031.2,0.0,0.0,0.0,1,0
6296098,672,TRANSFER,21332.46,21332.46,0.0,0.0,0.0,1,0
6338605,691,CASH_OUT,1518718.03,1518718.03,0.0,0.0,1518718.03,1,0
6039437,480,TRANSFER,146743.13,146743.13,0.0,0.0,0.0,1,0
1030708,86,CASH_OUT,305817.12,305817.12,0.0,0.0,305817.12,1,0
5188030,365,TRANSFER,155799.82,155799.82,0.0,0.0,0.0,1,0
576336,28,TRANSFER,491517.77,491517.77,0.0,0.0,0.0,1,0
5606787,394,CASH_OUT,3354215.55,3354215.55,0.0,0.0,3354215.55,1,0
6042611,490,CASH_OUT,3641525.7,3641525.7,0.0,599102.39,4240628.09,1,0
6121961,539,TRANSFER,79594.91,79594.91,0.0,0.0,0.0,1,0
4784882,337,TRANSFER,623152.72,623152.72,0.0,0.0,0.0,1,0
6273163,633,CASH_OUT,75480.15,75480.15,0.0,0.0,75480.15,1,0
1059655,113,CASH_OUT,1636403.22,1636403.22,0.0,1116093.45,2752496.67,1,0
6145885,546,CASH_OUT,1634229.02,1634229.02,0.0,0.0,1634229.02,1,0
6168492,553,CASH_OUT,244312.69,244312.69,0.0,2551013.59,2795326.27,1,0
1510956,146,TRANSFER,60516.53,60516.53,0.0,0.0,0.0,1,0
302331,15,TRANSFER,747282.4,747282.4,0.0,0.0,0.0,1,0
5627583,395,CASH_OUT,171880.67,171880.67,0.0,2893198.81,3086348.25,1,0
5988241,414,TRANSFER,4602636.68,4602636.68,0.0,0.0,0.0,1,0
6272983,629,CASH_OUT,93884.26,93884.26,0.0,1439275.59,1533159.85,1,0
5128584,356,TRANSFER,5952739.3,5952739.3,0.0,0.0,0.0,1,0
854216,41,TRANSFER,82806.2,82806.2,0.0,0.0,0.0,1,0
6118824,537,CASH_OUT,340119.98,340119.98,0.0,3680505.2,4020625.18,1,0
5362425,375,TRANSFER,3724.3,3724.3,0.0,0.0,0.0,1,0
1059629,110,CASH_OUT,904124.58,904124.58,0.0,700603.93,1604728.51,1,0
2814083,225,TRANSFER,74447.11,74447.11,0.0,0.0,0.0,1,0
6362594,741,TRANSFER,144945.34,144945.34,0.0,0.0,0.0,1,0
4486593,324,TRANSFER,10211.81,10211.81,0.0,0.0,0.0,1,0
6358042,711,CASH_OUT,2580055.17,2580055.17,0.0,1052911.87,3632967.05,1,0
4410772,322,CASH_OUT,20986.02,20986.02,0.0,3259785.07,3280771.09,1,0
5351055,375,TRANSFER,118462.93,118462.93,0.0,0.0,0.0,1,0
1030268,51,CASH_OUT,115881.21,115881.21,0.0,4774288.04,4890169.26,1,0
4384507,312,CASH_OUT,6580427.81,6580427.81,0.0,0.0,6580427.81,1,0
4785670,343,TRANSFER,101013.32,101013.32,0.0,0.0,0.0,1,0
6020202,460,TRANSFER,2059980.16,2059980.16,0.0,0.0,0.0,1,0
5563709,387,TRANSFER,10000000.0,24892193.09,14892193.09,0.0,0.0,1,0
1511322,148,TRANSFER,677563.22,677563.22,0.0,0.0,0.0,1,0
1030617,78,TRANSFER,113829.89,113829.89,0.0,0.0,0.0,1,0
1030397,61,TRANSFER,55062.46,55062.46,0.0,0.0,0.0,1,0
6201835,579,TRANSFER,1540624.7,1540624.7,0.0,0.0,0.0,1,0
1030388,61,CASH_OUT,475368.94,475368.94,0.0,1348026.73,1823395.67,1,0
6328871,689,TRANSFER,2163012.63,2163012.63,0.0,0.0,0.0,1,0
5996404,425,CASH_OUT,10000000.0,10000000.0,0.0,1727027.89,11727027.89,1,0
6065054,509,TRANSFER,407320.01,407320.01,0.0,0.0,0.0,1,0
6032849,475,CASH_OUT,876753.11,876753.11,0.0,0.0,876753.11,1,0
576341,29,CASH_OUT,268641.82,268641.82,0.0,197163.95,465805.77,1,0
3803142,281,TRANSFER,7133.97,7133.97,0.0,0.0,0.0,1,0
3610974,269,CASH_OUT,3042111.54,3042111.54,0.0,3574837.72,6616949.26,1,0
4341939,308,CASH_OUT,443682.96,443682.96,0.0,587076.1,1030759.06,1,0
6064044,505,CASH_OUT,2251225.38,2251225.38,0.0,23722.5,2274947.89,1,0
5010002,353,TRANSFER,174566.53,174566.53,0.0,0.0,0.0,1,0
6276605,638,CASH_OUT,1559540.62,1559540.62,0.0,100482.9,1660023.52,1,0
1511353,149,CASH_OUT,29832.81,29832.81,0.0,82642.62,112475.43,1,0
6362585,741,CASH_OUT,0.0,0.0,0.0,267522.87,267522.87,1,0
2334071,188,CASH_OUT,5777706.65,5777706.65,0.0,0.0,5777706.65,1,0
6308243,685,TRANSFER,73110.82,73110.82,0.0,0.0,0.0,1,0
6272980,629,TRANSFER,7922.98,7922.98,0.0,0.0,0.0,1,0
6118817,536,TRANSFER,844213.81,844213.81,0.0,0.0,0.0,1,0
6273153,631,CASH_OUT,3120690.98,3120690.98,0.0,3881444.6,7002135.58,1,0
1059614,108,TRANSFER,7060216.94,7060216.94,0.0,0.0,0.0,1,0
6196335,573,CASH_OUT,457789.14,457789.14,0.0,0.0,457789.14,1,0
6272921,623,CASH_OUT,296156.97,296156.97,0.0,1385822.34,1681979.31,1,0
3191794,241,TRANSFER,470956.59,470956.59,0.0,0.0,0.0,1,0
615174,34,TRANSFER,989311.12,989311.12,0.0,0.0,0.0,1,0
6014712,450,CASH_OUT,9228514.1,9228514.1,0.0,1088377.41,10316891.51,1,0
6281777,650,TRANSFER,916886.3,916886.3,0.0,0.0,0.0,1,0
6167693,552,TRANSFER,692743.57,692743.57,0.0,0.0,0.0,1,0
6169347,563,CASH_OUT,190662.7,190662.7,0.0,309903.6,500566.3,1,0
6039448,481,CASH_OUT,190215.18,190215.18,0.0,0.0,190215.18,1,0
6362489,732,CASH_OUT,311832.17,311832.17,0.0,0.0,311832.17,1,0
1059696,118,TRANSFER,50845.13,50845.13,0.0,0.0,0.0,1,0
5987925,411,CASH_OUT,2068313.94,2068313.94,0.0,0.0,2068313.94,1,0
3214344,249,TRANSFER,10000000.0,11306690.61,1306690.61,0.0,0.0,1,0
1030272,51,CASH_OUT,1170282.92,1170282.92,0.0,173264.14,1343547.06,1,0
6325864,688,CASH_OUT,735329.1,735329.1,0.0,0.0,735329.1,1,0
5841055,402,TRANSFER,4257337.62,4257337.62,0.0,0.0,0.0,1,0
1030759,90,TRANSFER,249791.3,249791.3,0.0,0.0,0.0,1,0
919658,43,TRANSFER,350789.59,350789.59,0.0,0.0,276871.71,1,0
6292361,666,CASH_OUT,504362.34,504362.34,0.0,0.0,504362.34,1,0
2783640,214,CASH_OUT,1368391.5,1368391.5,0.0,258210.84,1626602.34,1,0
4388735,316,CASH_OUT,158279.4,158279.4,0.0,778522.62,936802.02,1,0
3055710,234,CASH_OUT,470922.15,470922.15,0.0,0.0,470922.15,1,0
6362515,735,CASH_OUT,243459.96,243459.96,0.0,9459523.04,9702983.01,1,0
4070344,300,TRANSFER,794421.26,794421.26,0.0,0.0,0.0,1,0
102607,10,TRANSFER,9217.19,9217.19,0.0,0.0,96795.6,1,0
6351142,699,CASH_OUT,181545.14,181545.14,0.0,2357597.32,2539142.46,1,0
5628265,395,TRANSFER,117683.42,117683.42,0.0,0.0,0.0,1,0
6282131,656,TRANSFER,5349.74,5349.74,0.0,0.0,0.0,1,0
6168495,554,TRANSFER,10000000.0,23576297.1,13576297.1,0.0,0.0,1,0
3956496,288,TRANSFER,1905476.22,1905476.22,0.0,0.0,0.0,1,0
6245667,596,CASH_OUT,434401.5,434401.5,0.0,542289.09,976690.59,1,0
397547,18,CASH_OUT,295664.18,295664.18,0.0,10184336.54,10480000.72,1,0
1059524,101,TRANSFER,891944.51,891944.51,0.0,0.0,0.0,1,0
6166979,552,TRANSFER,45116.24,45116.24,0.0,0.0,0.0,1,0
6351185,699,TRANSFER,62372.43,62372.43,0.0,0.0,0.0,1,0
6273180,635,TRANSFER,1387048.31,1387048.31,0.0,0.0,0.0,1,0
4388723,315,CASH_OUT,4713935.64,4713935.64,0.0,529413.85,5243349.49,1,0
1482204,141,TRANSFER,1589614.75,1589614.75,0.0,0.0,0.0,1,0
1526207,153,CASH_OUT,412511.32,412511.32,0.0,41026.29,453537.61,1,0
1070081,123,CASH_OUT,6351930.74,6351930.74,0.0,475618.0,6827548.75,1,0
3741798,279,CASH_OUT,601222.02,601222.02,0.0,0.0,601222.02,1,0
576364,32,TRANSFER,2023920.09,2023920.09,0.0,0.0,0.0,1,0
10395,7,TRANSFER,5460002.91,5460002.91,0.0,0.0,0.0,1,0
24967,8,CASH_OUT,1996.17,1996.17,0.0,2559.74,4555.92,1,0
6201468,577,TRANSFER,763170.76,763170.76,0.0,0.0,0.0,1,0
6168716,561,CASH_OUT,1383818.98,1383818.98,0.0,26146.79,1409965.77,1,0
1059633,110,CASH_OUT,535654.59,535654.59,0.0,448145.96,983800.55,1,0
6282922,656,CASH_OUT,110528.53,110528.53,0.0,600331.95,710860.48,1,0
6040703,487,CASH_OUT,1035401.2,1035401.2,0.0,4906677.4,5942078.6,1,0
4760263,334,CASH_OUT,554501.15,554501.15,0.0,225415.81,779916.96,1,0
6266291,616,TRANSFER,7240965.96,7240965.96,0.0,0.0,0.0,1,0
6187839,569,CASH_OUT,176626.77,176626.77,0.0,3939114.73,4115741.5,1,0
5875183,403,TRANSFER,949979.11,949979.11,0.0,0.0,0.0,1,0
5563753,389,TRANSFER,173668.46,173668.46,0.0,0.0,0.0,1,0
6339569,692,TRANSFER,349619.91,349619.91,0.0,0.0,0.0,1,0
6081339,520,TRANSFER,658855.33,658855.33,0.0,0.0,0.0,1,0
2947671,230,TRANSFER,1112204.51,1112204.51,0.0,0.0,0.0,1,0
6242716,595,CASH_OUT,816452.19,816452.19,0.0,1218091.0,2034543.19,1,0
5988248,414,CASH_OUT,724264.21,724264.21,0.0,0.0,724264.21,1,0
1932175,171,TRANSFER,1786247.31,1786247.31,0.0,0.0,0.0,1,0
6020277,461,CASH_OUT,830991.53,830991.53,0.0,48795.65,879787.17,1,0
1033689,93,CASH_OUT,315654.19,315654.19,0.0,0.0,315654.19,1,0
6296755,680,CASH_OUT,442460.31,442460.31,0.0,0.0,442460.31,1,0
6272991,629,CASH_OUT,1051018.15,1051018.15,0.0,0.0,1051018.15,1,0
1059601,107,CASH_OUT,418691.02,418691.02,0.0,628282.31,1046973.33,1,0
6362433,728,CASH_OUT,6322399.97,6322399.97,0.0,0.0,6322399.97,1,0
6272971,628,CASH_OUT,709950.57,709950.57,0.0,0.0,709950.57,1,0
5188041,366,CASH_OUT,2701644.17,2701644.17,0.0,0.0,2701644.17,1,0
2382134,195,TRANSFER,127342.3,127342.3,0.0,0.0,0.0,1,0
6078968,519,TRANSFER,1049424.26,1049424.26,0.0,0.0,0.0,1,0
2609114,208,CASH_OUT,134861.82,134861.82,0.0,0.0,134861.82,1,0
6362331,719,CASH_OUT,6219566.63,6219566.63,0.0,0.0,6219566.63,1,0
5987901,410,CASH_OUT,2876010.51,2876010.51,0.0,119686.18,2995696.7,1,0
6351203,701,TRANSFER,8537861.24,8537861.24,0.0,0.0,0.0,1,0
556509,22,CASH_OUT,489767.32,489767.32,0.0,0.0,489767.32,1,0
6283801,657,CASH_OUT,41428.9,41428.9,0.0,25069.03,66497.93,1,0
3579107,261,TRANSFER,1954854.24,1954854.24,0.0,0.0,0.0,1,0
1059552,104,TRANSFER,306833.41,306833.41,0.0,0.0,0.0,1,0
1511381,151,CASH_OUT,1766811.07,1766811.07,0.0,618077.7,2384888.77,1,0
3193223,248,TRANSFER,65761.13,65761.13,0.0,0.0,0.0,1,0
5188018,364,TRANSFER,703135.43,703135.43,0.0,0.0,0.0,1,0
1030448,65,CASH_OUT,174923.28,174923.28,0.0,0.0,174923.28,1,0
1915202,166,TRANSFER,204951.37,204951.37,0.0,0.0,0.0,1,0
3453733,257,TRANSFER,6262505.91,6262505.91,0.0,0.0,0.0,1,0
2736443,212,CASH_OUT,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0
1092405,130,CASH_OUT,1494432.21,1494432.21,0.0,0.0,1494432.21,1,0
6351061,697,TRANSFER,106850.22,106850.22,0.0,0.0,0.0,1,0
6362431,728,CASH_OUT,287040.14,287040.14,0.0,2153682.82,2440722.97,1,0
1059497,98,CASH_OUT,2394623.8,2394623.8,0.0,4678162.27,7072786.07,1,0
6360384,715,CASH_OUT,212028.15,212028.15,0.0,3708381.73,3920409.88,1,0
1059597,106,CASH_OUT,2708906.59,2708906.59,0.0,0.0,2708906.59,1,0
6065316,513,TRANSFER,159724.42,159724.42,0.0,0.0,0.0,1,0
6362539,736,CASH_OUT,3912252.81,3912252.81,0.0,0.0,3912252.81,1,0
6281457,645,CASH_OUT,214760.72,214760.72,0.0,151605.62,366366.35,1,0
69201,9,TRANSFER,1055.0,1055.0,0.0,0.0,0.0,1,0
6020256,461,TRANSFER,6273660.45,6273660.45,0.0,0.0,0.0,1,0
1070083,123,TRANSFER,629958.0,629958.0,0.0,0.0,0.0,1,0
2900070,228,TRANSFER,2874626.02,2874626.02,0.0,0.0,0.0,1,0
6166262,551,TRANSFER,150924.76,150924.76,0.0,0.0,0.0,1,0
6010854,444,CASH_OUT,408864.84,408864.84,0.0,0.0,408864.84,1,0
6351145,699,TRANSFER,148714.54,148714.54,0.0,0.0,0.0,1,0
1068588,120,CASH_OUT,746518.21,746518.21,0.0,348702.45,1095220.66,1,0
6030084,472,TRANSFER,653983.93,653983.93,0.0,0.0,0.0,1,0
6296620,674,TRANSFER,3288377.47,3288377.47,0.0,0.0,0.0,1,0
6039796,485,TRANSFER,3351304.78,3351304.78,0.0,0.0,0.0,1,0
6272985,629,CASH_OUT,19527.35,19527.35,0.0,676072.2,695599.55,1,0
4388737,316,CASH_OUT,72665.95,72665.95,0.0,31012.3,103678.25,1,0
2937749,230,CASH_OUT,102009.37,102009.37,0.0,27348.12,129357.48,1,0
2828148,226,CASH_OUT,1231309.64,1231309.64,0.0,27650.97,1258960.61,1,0
1030547,71,TRANSFER,345526.4,345526.4,0.0,0.0,0.0,1,0
1089056,129,CASH_OUT,1864022.05,1864022.05,0.0,1435908.91,3299930.96,1,0
6152640,547,CASH_OUT,594471.04,594471.04,0.0,1788456.17,2382927.21,1,0
5834538,402,CASH_OUT,143592.89,143592.89,0.0,0.0,143592.89,1,0
6052332,495,CASH_OUT,987470.17,987470.17,0.0,0.0,987470.17,1,0
1932189,172,TRANSFER,70072.66,70072.66,0.0,0.0,0.0,1,0
1059679,116,CASH_OUT,522465.43,522465.43,0.0,1116912.37,1639377.8,1,0
6362605,742,CASH_OUT,54652.46,54652.46,0.0,0.0,54652.46,1,0
6272926,624,TRANSFER,69912.57,69912.57,0.0,0.0,0.0,1,0
6362592,741,TRANSFER,383661.1,383661.1,0.0,0.0,0.0,1,0
6296027,672,TRANSFER,7218629.01,7218629.01,0.0,0.0,0.0,1,0
2740544,212,CASH_OUT,36035.11,36035.11,0.0,0.0,36035.11,1,0
5562382,385,TRANSFER,617882.66,617882.66,0.0,0.0,0.0,1,0
899577,42,TRANSFER,1917497.63,1917497.63,0.0,0.0,0.0,1,0
4546312,326,TRANSFER,120214.74,120214.74,0.0,0.0,0.0,1,0
6168500,554,CASH_OUT,0.0,0.0,0.0,230289.66,230289.66,1,0
5988264,415,CASH_OUT,37766.23,37766.23,0.0,2344708.27,2382474.5,1,0
6168510,554,CASH_OUT,346795.44,346795.44,0.0,0.0,346795.44,1,0
1719352,160,CASH_OUT,1284959.39,1284959.39,0.0,814622.86,2099582.25,1,0
5563021,385,CASH_OUT,868004.62,868004.62,0.0,0.0,868004.62,1,0
6272068,621,CASH_OUT,6961359.11,6961359.11,0.0,1734492.77,8695851.88,1,0
6040261,487,TRANSFER,1205760.86,1205760.86,0.0,0.0,0.0,1,0
